recipe_id,name,ingredients,prep_time_minutes,servings,nutrients,tags,difficulty
r1,Tomato Pasta,"[{'ingredient_name':'tomato','quantity':200},{'ingredient_name':'pasta','quantity':100},{'ingredient_name':'cheese','quantity':50}]",20,2,"{cal:500,protein:18,fat:10,carb:70}","['italian','dinner']","easy"
r2,Fried Rice,"[{'ingredient_name':'rice','quantity':150},{'ingredient_name':'egg','quantity':2},{'ingredient_name':'soy_sauce','quantity':20}]",15,2,"{cal:450,protein:16,fat:8,carb:65}","['asian','lunch']","easy"
r3,Vegetable Soup,"[{'ingredient_name':'carrot','quantity':100},{'ingredient_name':'potato','quantity':100},{'ingredient_name':'onion','quantity':50}]",25,3,"{cal:250,protein:5,fat:3,carb:40}","['healthy','dinner','vegetarian']","easy"
r4,Cheese Sandwich,"[{'ingredient_name':'bread','quantity':2},{'ingredient_name':'cheese','quantity':40},{'ingredient_name':'butter','quantity':10}]",10,1,"{cal:300,protein:10,fat:15,carb:30}","['breakfast','snack']","easy"
r5,Omelette,"[{'ingredient_name':'egg','quantity':2},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'tomato','quantity':50}]",10,1,"{cal:200,protein:12,fat:8,carb:6}","['breakfast']","easy"
r6,Chicken Stir Fry,"[{'ingredient_name':'chicken','quantity':150},{'ingredient_name':'onion','quantity':50},{'ingredient_name':'rice','quantity':100}]",20,2,"{cal:550,protein:35,fat:12,carb:55}","['asian','dinner']","medium"
r7,Greek Salad,"[{'ingredient_name':'tomato','quantity':100},{'ingredient_name':'onion','quantity':30},{'ingredient_name':'cheese','quantity':30}]",10,2,"{cal:220,protein:8,fat:10,carb:12}","['salad','vegetarian']","easy"
r8,Beef Tacos,"[{'ingredient_name':'beef','quantity':150},{'ingredient_name':'tortilla','quantity':2},{'ingredient_name':'onion','quantity':30}]",25,2,"{cal:600,protein:30,fat:25,carb:50}","['mexican','dinner']","medium"
r9,Quinoa Bowl,"[{'ingredient_name':'quinoa','quantity':120},{'ingredient_name':'tomato','quantity':80},{'ingredient_name':'avocado','quantity':50}]",20,2,"{cal:420,protein:12,fat:18,carb:50}","['healthy','vegetarian']","easy"
r10,Spinach Paneer,"[{'ingredient_name':'spinach','quantity':150},{'ingredient_name':'paneer','quantity':100},{'ingredient_name':'onion','quantity':40}]",30,3,"{cal:480,protein:20,fat:30,carb:20}","['indian','vegetarian']","medium"
